tick,player_slot,team,pos_x,pos_y,health,mana,level,gold,net_worth,hero_id,hero_name
90,2,0,7200.0,7100.0,700,300,7,1000,2050,3,hero_2
90,3,0,7300.0,7150.0,800,350,8,1000,2050,4,hero_3
90,4,0,7400.0,7200.0,900,400,9,1000,2050,5,hero_4
90,5,1,7500.0,7250.0,1000,450,5,1000,2050,6,hero_5
90,6,1,7600.0,7300.0,1100,500,6,1000,2050,7,hero_6
90,7,1,7700.0,7350.0,1200,550,7,1000,2050,8,hero_7
90,8,1,7800.0,7400.0,1300,600,8,1000,2050,9,hero_8
90,9,1,7900.0,7450.0,1400,650,9,1000,2050,10,hero_9
120,0,0,7000.0,7000.0,500,200,5,1100,2100,1,hero_0
120,1,0,7100.0,7050.0,600,250,6,1100,2100,2,hero_1
120,2,0,7200.0,7100.0,700,300,7,1100,2100,3,hero_2
120,3,0,7300.0,7150.0,800,350,8,1100,2100,4,hero_3
120,4,0,7400.0,7200.0,900,400,9,1100,2100,5,hero_4
120,5,1,7500.0,7250.0,1000,450,5,1100,2100,6,hero_5
120,6,1,7600.0,7300.0,1100,500,6,1100,2100,7,hero_6
120,7,1,7700.0,7350.0,1200,550,7,1100,2100,8,hero_7
120,8,1,7800.0,7400.0,1300,600,8,1100,2100,9,hero_8
120,9,1,7900.0,7450.0,1400,650,9,1100,2100,10,hero_9
150,0,0,7000.0,7000.0,500,200,5,1100,2150,1,hero_0
150,1,0,7100.0,7050.0,600,250,6,1100,2150,2,hero_1
150,2,0,7200.0,7100.0,700,300,7,1100,2150,3,hero_2
150,3,0,7300.0,7150.0,800,350,8,1100,2150,4,hero_3
150,4,0,7400.0,7200.0,900,400,9,1100,2150,5,hero_4
150,5,1,7500.0,7250.0,1000,450,5,1100,2150,6,hero_5
150,6,1,7600.0,7300.0,1100,500,6,1100,2150,7,hero_6
150,7,1,7700.0,7350.0,1200,550,7,1100,2150,8,hero_7
150,8,1,7800.0,7400.0,1300,600,8,1100,2150,9,hero_8
150,9,1,7900.0,7450.0,1400,650,9,1100,2150,10,hero_9
180,0,0,7000.0,7000.0,500,200,5,1100,2150,1,hero_0
180,1,0,7100.0,7050.0,600,250,6,1100,2150,2,hero_1
180,2,0,7200.0,7100.0,700,300,7,1100,2150,3,hero_2
180,3,0,7300.0,7150.0,800,350,8,1100,2150,4,hero_3
180,4,0,7400.0,7200.0,900,400,9,1100,2150,5,hero_4
180,5,1,7500.0,7250.0,1000,450,5,1100,2150,6,hero_5
180,6,1,7600.0,7300.0,1100,500,6,1100,2150,7,hero_6
180,7,1,7700.0,7350.0,1200,550,7,1100,2150,8,hero_7
180,8,1,7800.0,7400.0,1300,600,8,1100,2150,9,hero_8
180,9,1,7900.0,7450.0,1400,650,9,1100,2150,10,hero_9
210,0,0,7000.0,7000.0,500,200,5,1200,2200,1,hero_0
210,1,0,7100.0,7050.0,600,250,6,1200,2200,2,hero_1
210,2,0,7200.0,7100.0,700,300,7,1200,2200,3,hero_2
210,3,0,7300.0,7150.0,800,350,8,1200,2200,4,hero_3
210,4,0,7400.0,7200.0,900,400,9,1200,2200,5,hero_4
210,5,1,7500.0,7250.0,1000,450,5,1200,2200,6,hero_5
210,6,1,7600.0,7300.0,1100,500,6,1200,2200,7,hero_6
210,7,1,7700.0,7350.0,1200,550,7,1200,2200,8,hero_7
210,8,1,7800.0,7400.0,1300,600,8,1200,2200,9,hero_8
210,9,1,7900.0,7450.0,1400,650,9,1200,2200,10,hero_9
240,0,0,7000.0,7000.0,500,200,5,1200,2200,1,hero_0
240,1,0,7100.0,7050.0,600,250,6,1200,2200,2,hero_1
240,2,0,7200.0,7100.0,700,300,7,1200,2200,3,hero_2
240,3,0,7300.0,7150.0,800,350,8,1200,2200,4,hero_3
240,4,0,7400.0,7200.0,900,400,9,1200,2200,5,hero_4
240,5,1,7500.0,7250.0,1000,450,5,1200,2200,6,hero_5
240,6,1,7600.0,7300.0,1100,500,6,1200,2200,7,hero_6
240,7,1,7700.0,7350.0,1200,550,7,1200,2200,8,hero_7
240,8,1,7800.0,7400.0,1300,600,8,1200,2200,9,hero_8
240,9,1,7900.0,7450.0,1400,650,9,1200,2200,10,hero_9
270,0,0,7000.0,7000.0,500,200,5,1200,2250,1,hero_0
270,1,0,7100.0,7050.0,600,250,6,1200,2250,2,hero_1
270,2,0,7200.0,7100.0,700,300,7,1200,2250,3,hero_2
270,3,0,7300.0,7150.0,800,350,8,1200,2250,4,hero_3
270,4,0,7400.0,7200.0,900,400,9,1200,2250,5,hero_4
270,5,1,7500.0,7250.0,1000,450,5,1200,2250,6,hero_5
270,6,1,7600.0,7300.0,1100,500,6,1200,2250,7,hero_6
270,7,1,7700.0,7350.0,1200,550,7,1200,2250,8,hero_7
270,8,1,7800.0,7400.0,1300,600,8,1200,2250,9,hero_8
270,9,1,7900.0,7450.0,1400,650,9,1200,2250,10,hero_9
300,0,0,7000.0,7000.0,500,200,5,1300,2300,1,hero_0
300,1,0,7100.0,7050.0,600,250,6,1300,2300,2,hero_1
300,2,0,7200.0,7100.0,700,300,7,1300,2300,3,hero_2
300,3,0,7300.0,7150.0,800,350,8,1300,2300,4,hero_3
300,4,0,7400.0,7200.0,900,400,9,1300,2300,5,hero_4
300,5,1,7500.0,7250.0,1000,450,5,1300,2300,6,hero_5
300,6,1,7600.0,7300.0,1100,500,6,1300,2300,7,hero_6
300,7,1,7700.0,7350.0,1200,550,7,1300,2300,8,hero_7
300,8,1,7800.0,7400.0,1300,600,8,1300,2300,9,hero_8
300,9,1,7900.0,7450.0,1400,650,9,1300,2300,10,hero_9
330,0,0,7000.0,7000.0,500,200,5,1300,2300,1,hero_0
330,1,0,7100.0,7050.0,600,250,6,1300,2300,2,hero_1
330,2,0,7200.0,7100.0,700,300,7,1300,2300,3,hero_2
330,3,0,7300.0,7150.0,800,350,8,1300,2300,4,hero_3
330,4,0,7400.0,7200.0,900,400,9,1300,2300,5,hero_4
330,5,1,7500.0,7250.0,1000,450,5,1300,2300,6,hero_5
330,6,1,7600.0,7300.0,1100,500,6,1300,2300,7,hero_6
330,7,1,7700.0,7350.0,1200,550,7,1300,2300,8,hero_7
330,8,1,7800.0,7400.0,1300,600,8,1300,2300,9,hero_8
330,9,1,7900.0,7450.0,1400,650,9,1300,2300,10,hero_9
360,0,0,7000.0,7000.0,500,200,5,1300,2350,1,hero_0
360,1,0,7100.0,7050.0,600,250,6,1300,2350,2,hero_1
360,2,0,7200.0,7100.0,700,300,7,1300,2350,3,hero_2
360,3,0,7300.0,7150.0,800,350,8,1300,2350,4,hero_3
360,4,0,7400.0,7200.0,900,400,9,1300,2350,5,hero_4
360,5,1,7500.0,7250.0,1000,450,5,1300,2350,6,hero_5
360,6,1,7600.0,7300.0,1100,500,6,1300,2350,7,hero_6
360,7,1,7700.0,7350.0,1200,550,7,1300,2350,8,hero_7
360,8,1,7800.0,7400.0,1300,600,8,1300,2350,9,hero_8
360,9,1,7900.0,7450.0,1400,650,9,1300,2350,10,hero_9
390,0,0,7000.0,7000.0,500,200,5,1300,2350,1,hero_0
390,1,0,7100.0,7050.0,600,250,6,1300,2350,2,hero_1
390,2,0,7200.0,7100.0,700,300,7,1300,2350,3,hero_2
390,3,0,7300.0,7150.0,800,350,8,1300,2350,4,hero_3
390,4,0,7400.0,7200.0,900,400,9,1300,2350,5,hero_4
390,5,1,7500.0,7250.0,1000,450,5,1300,2350,6,hero_5
390,6,1,7600.0,7300.0,1100,500,6,1300,2350,7,hero_6
390,7,1,7700.0,7350.0,1200,550,7,1300,2350,8,hero_7
390,8,1,7800.0,7400.0,1300,600,8,1300,2350,9,hero_8
390,9,1,7900.0,7450.0,1400,650,9,1300,2350,10,hero_9
420,0,0,7000.0,7000.0,500,200,5,1400,2400,1,hero_0
420,1,0,7100.0,7050.0,600,250,6,1400,2400,2,hero_1
420,2,0,7200.0,7100.0,700,300,7,1400,2400,3,hero_2
420,3,0,7300.0,7150.0,800,350,8,1400,2400,4,hero_3
420,4,0,7400.0,7200.0,900,400,9,1400,2400,5,hero_4
420,5,1,7500.0,7250.0,1000,450,5,1400,2400,6,hero_5
420,6,1,7600.0,7300.0,1100,500,6,1400,2400,7,hero_6
420,7,1,7700.0,7350.0,1200,550,7,1400,2400,8,hero_7
420,8,1,7800.0,7400.0,1300,600,8,1400,2400,9,hero_8
420,9,1,7900.0,7450.0,1400,650,9,1400,2400,10,hero_9
450,0,0,7000.0,7000.0,500,200,5,1400,2450,1,hero_0
450,1,0,7100.0,7050.0,600,250,6,1400,2450,2,hero_1
450,2,0,7200.0,7100.0,700,300,7,1400,2450,3,hero_2
450,3,0,7300.0,7150.0,800,350,8,1400,2450,4,hero_3
450,4,0,7400.0,7200.0,900,400,9,1400,2450,5,hero_4
450,5,1,7500.0,7250.0,1000,450,5,1400,2450,6,hero_5
450,6,1,7600.0,7300.0,1100,500,6,1400,2450,7,hero_6
450,7,1,7700.0,7350.0,1200,550,7,1400,2450,8,hero_7
450,8,1,7800.0,7400.0,1300,600,8,1400,2450,9,hero_8
450,9,1,7900.0,7450.0,1400,650,9,1400,2450,10,hero_9
480,0,0,7000.0,7000.0,500,200,5,1400,2450,1,hero_0
480,1,0,7100.0,7050.0,600,250,6,1400,2450,2,hero_1
480,2,0,7200.0,7100.0,700,300,7,1400,2450,3,hero_2
480,3,0,7300.0,7150.0,800,350,8,1400,2450,4,hero_3
480,4,0,7400.0,7200.0,900,400,9,1400,2450,5,hero_4
480,5,1,7500.0,7250.0,1000,450,5,1400,2450,6,hero_5
480,6,1,7600.0,7300.0,1100,500,6,1400,2450,7,hero_6
480,7,1,7700.0,7350.0,1200,550,7,1400,2450,8,hero_7
480,8,1,7800.0,7400.0,1300,600,8,1400,2450,9,hero_8
480,9,1,7900.0,7450.0,1400,650,9,1400,2450,10,hero_9
510,0,0,7000.0,7000.0,500,200,5,1500,2500,1,hero_0
510,1,0,7100.0,7050.0,600,250,6,1500,2500,2,hero_1
510,2,0,7200.0,7100.0,700,300,7,1500,2500,3,hero_2
510,3,0,7300.0,7150.0,800,350,8,1500,2500,4,hero_3
510,4,0,7400.0,7200.0,900,400,9,1500,2500,5,hero_4
510,5,1,7500.0,7250.0,1000,450,5,1500,2500,6,hero_5
510,6,1,7600.0,7300.0,1100,500,6,1500,2500,7,hero_6
510,7,1,7700.0,7350.0,1200,550,7,1500,2500,8,hero_7
510,8,1,7800.0,7400.0,1300,600,8,1500,2500,9,hero_8
510,9,1,7900.0,7450.0,1400,650,9,1500,2500,10,hero_9
540,0,0,7000.0,7000.0,500,200,5,1500,2500,1,hero_0
540,1,0,7100.0,7050.0,600,250,6,1500,2500,2,hero_1
540,2,0,7200.0,7100.0,700,300,7,1500,2500,3,hero_2
540,3,0,7300.0,7150.0,800,350,8,1500,2500,4,hero_3
540,4,0,7400.0,7200.0,900,400,9,1500,2500,5,hero_4
540,5,1,7500.0,7250.0,1000,450,5,1500,2500,6,hero_5
540,6,1,7600.0,7300.0,1100,500,6,1500,2500,7,hero_6
540,7,1,7700.0,7350.0,1200,550,7,1500,2500,8,hero_7
540,8,1,7800.0,7400.0,1300,600,8,1500,2500,9,hero_8
540,9,1,7900.0,7450.0,1400,650,9,1500,2500,10,hero_9
570,0,0,7000.0,7000.0,500,200,5,1500,2550,1,hero_0
570,1,0,7100.0,7050.0,600,250,6,1500,2550,2,hero_1
570,2,0,7200.0,7100.0,700,300,7,1500,2550,3,hero_2
570,3,0,7300.0,7150.0,800,350,8,1500,2550,4,hero_3
570,4,0,7400.0,7200.0,900,400,9,1500,2550,5,hero_4
570,5,1,7500.0,7250.0,1000,450,5,1500,2550,6,hero_5
570,6,1,7600.0,7300.0,1100,500,6,1500,2550,7,hero_6
570,7,1,7700.0,7350.0,1200,550,7,1500,2550,8,hero_7
570,8,1,7800.0,7400.0,1300,600,8,1500,2550,9,hero_8
570,9,1,7900.0,7450.0,1400,650,9,1500,2550,10,hero_9
600,0,0,7000.0,7000.0,500,200,5,1600,2600,1,hero_0
600,1,0,7100.0,7050.0,600,250,6,1600,2600,2,hero_1
600,2,0,7200.0,7100.0,700,300,7,1600,2600,3,hero_2
600,3,0,7300.0,7150.0,800,350,8,1600,2600,4,hero_3
600,4,0,7400.0,7200.0,900,400,9,1600,2600,5,hero_4
600,5,1,7500.0,7250.0,1000,450,5,1600,2600,6,hero_5
600,6,1,7600.0,7300.0,1100,500,6,1600,2600,7,hero_6
600,7,1,7700.0,7350.0,1200,550,7,1600,2600,8,hero_7
600,8,1,7800.0,7400.0,1300,600,8,1600,2600,9,hero_8
600,9,1,7900.0,7450.0,1400,650,9,1600,2600,10,hero_9
630,0,0,7000.0,7000.0,500,200,5,1600,2600,1,hero_0
630,1,0,7100.0,7050.0,600,250,6,1600,2600,2,hero_1
630,2,0,7200.0,7100.0,700,300,7,1600,2600,3,hero_2
630,3,0,7300.0,7150.0,800,350,8,1600,2600,4,hero_3
630,4,0,7400.0,7200.0,900,400,9,1600,2600,5,hero_4
630,5,1,7500.0,7250.0,1000,450,5,1600,2600,6,hero_5
630,6,1,7600.0,7300.0,1100,500,6,1600,2600,7,hero_6
630,7,1,7700.0,7350.0,1200,550,7,1600,2600,8,hero_7
630,8,1,7800.0,7400.0,1300,600,8,1600,2600,9,hero_8
630,9,1,7900.0,7450.0,1400,650,9,1600,2600,10,hero_9
660,0,0,7000.0,7000.0,500,200,5,1600,2650,1,hero_0
660,1,0,7100.0,7050.0,600,250,6,1600,2650,2,hero_1
660,2,0,7200.0,7100.0,700,300,7,1600,2650,3,hero_2
660,3,0,7300.0,7150.0,800,350,8,1600,2650,4,hero_3
660,4,0,7400.0,7200.0,900,400,9,1600,2650,5,hero_4
660,5,1,7500.0,7250.0,1000,450,5,1600,2650,6,hero_5
660,6,1,7600.0,7300.0,1100,500,6,1600,2650,7,hero_6
660,7,1,7700.0,7350.0,1200,550,7,1600,2650,8,hero_7
660,8,1,7800.0,7400.0,1300,600,8,1600,2650,9,hero_8
660,9,1,7900.0,7450.0,1400,650,9,1600,2650,10,hero_9
690,0,0,7000.0,7000.0,500,200,5,1600,2650,1,hero_0
690,1,0,7100.0,7050.0,600,250,6,1600,2650,2,hero_1
690,2,0,7200.0,7100.0,700,300,7,1600,2650,3,hero_2
690,3,0,7300.0,7150.0,800,350,8,1600,2650,4,hero_3
690,4,0,7400.0,7200.0,900,400,9,1600,2650,5,hero_4
690,5,1,7500.0,7250.0,1000,450,5,1600,2650,6,hero_5
690,6,1,7600.0,7300.0,1100,500,6,1600,2650,7,hero_6
690,7,1,7700.0,7350.0,1200,550,7,1600,2650,8,hero_7
690,8,1,7800.0,7400.0,1300,600,8,1600,2650,9,hero_8
690,9,1,7900.0,7450.0,1400,650,9,1600,2650,10,hero_9
720,0,0,7000.0,7000.0,500,200,5,1700,2700,1,hero_0
720,1,0,7100.0,7050.0,600,250,6,1700,2700,2,hero_1
720,2,0,7200.0,7100.0,700,300,7,1700,2700,3,hero_2
720,3,0,7300.0,7150.0,800,350,8,1700,2700,4,hero_3
720,4,0,7400.0,7200.0,900,400,9,1700,2700,5,hero_4
720,5,1,7500.0,7250.0,1000,450,5,1700,2700,6,hero_5
720,6,1,7600.0,7300.0,1100,500,6,1700,2700,7,hero_6
720,7,1,7700.0,7350.0,1200,550,7,1700,2700,8,hero_7
720,8,1,7800.0,7400.0,1300,600,8,1700,2700,9,hero_8
720,9,1,7900.0,7450.0,1400,650,9,1700,2700,10,hero_9
750,0,0,7000.0,7000.0,500,200,5,1700,2750,1,hero_0
750,1,0,7100.0,7050.0,600,250,6,1700,2750,2,hero_1
750,2,0,7200.0,7100.0,700,300,7,1700,2750,3,hero_2
750,3,0,7300.0,7150.0,800,350,8,1700,2750,4,hero_3
750,4,0,7400.0,7200.0,900,400,9,1700,2750,5,hero_4
750,5,1,7500.0,7250.0,1000,450,5,1700,2750,6,hero_5
750,6,1,7600.0,7300.0,1100,500,6,1700,2750,7,hero_6
750,7,1,7700.0,7350.0,1200,550,7,1700,2750,8,hero_7
750,8,1,7800.0,7400.0,1300,600,8,1700,2750,9,hero_8
750,9,1,7900.0,7450.0,1400,650,9,1700,2750,10,hero_9
780,0,0,7000.0,7000.0,500,200,5,1700,2750,1,hero_0
780,1,0,7100.0,7050.0,600,250,6,1700,2750,2,hero_1
780,2,0,7200.0,7100.0,700,300,7,1700,2750,3,hero_2
780,3,0,7300.0,7150.0,800,350,8,1700,2750,4,hero_3
780,4,0,7400.0,7200.0,900,400,9,1700,2750,5,hero_4
780,5,1,7500.0,7250.0,1000,450,5,1700,2750,6,hero_5
780,6,1,7600.0,7300.0,1100,500,6,1700,2750,7,hero_6
780,7,1,7700.0,7350.0,1200,550,7,1700,2750,8,hero_7
780,8,1,7800.0,7400.0,1300,600,8,1700,2750,9,hero_8
780,9,1,7900.0,7450.0,1400,650,9,1700,2750,10,hero_9
810,0,0,7000.0,7000.0,500,200,5,1800,2800,1,hero_0
810,1,0,7100.0,7050.0,600,250,6,1800,2800,2,hero_1
810,2,0,7200.0,7100.0,700,300,7,1800,2800,3,hero_2
810,3,0,7300.0,7150.0,800,350,8,1800,2800,4,hero_3
810,4,0,7400.0,7200.0,900,400,9,1800,2800,5,hero_4
810,5,1,7500.0,7250.0,1000,450,5,1800,2800,6,hero_5
810,6,1,7600.0,7300.0,1100,500,6,1800,2800,7,hero_6
810,7,1,7700.0,7350.0,1200,550,7,1800,2800,8,hero_7
810,8,1,7800.0,7400.0,1300,600,8,1800,2800,9,hero_8
810,9,1,7900.0,7450.0,1400,650,9,1800,2800,10,hero_9
840,0,0,7000.0,7000.0,500,200,5,1800,2800,1,hero_0
840,1,0,7100.0,7050.0,600,250,6,1800,2800,2,hero_1
840,2,0,7200.0,7100.0,700,300,7,1800,2800,3,hero_2
840,3,0,7300.0,7150.0,800,350,8,1800,2800,4,hero_3
840,4,0,7400.0,7200.0,900,400,9,1800,2800,5,hero_4
840,5,1,7500.0,7250.0,1000,450,5,1800,2800,6,hero_5
840,6,1,7600.0,7300.0,1100,500,6,1800,2800,7,hero_6
840,7,1,7700.0,7350.0,1200,550,7,1800,2800,8,hero_7
840,8,1,7800.0,7400.0,1300,600,8,1800,2800,9,hero_8
840,9,1,7900.0,7450.0,1400,650,9,1800,2800,10,hero_9
870,0,0,7000.0,7000.0,500,200,5,1800,2850,1,hero_0
870,1,0,7100.0,7050.0,600,250,6,1800,2850,2,hero_1
870,2,0,7200.0,7100.0,700,300,7,1800,2850,3,hero_2
870,3,0,7300.0,7150.0,800,350,8,1800,2850,4,hero_3
870,4,0,7400.0,7200.0,900,400,9,1800,2850,5,hero_4
870,5,1,7500.0,7250.0,1000,450,5,1800,2850,6,hero_5
870,6,1,7600.0,7300.0,1100,500,6,1800,2850,7,hero_6
870,7,1,7700.0,7350.0,1200,550,7,1800,2850,8,hero_7
870,8,1,7800.0,7400.0,1300,600,8,1800,2850,9,hero_8
870,9,1,7900.0,7450.0,1400,650,9,1800,2850,10,hero_9
900,0,0,7000.0,7000.0,500,200,5,1900,2900,1,hero_0
900,1,0,7100.0,7050.0,600,250,6,1900,2900,2,hero_1
900,2,0,7200.0,7100.0,700,300,7,1900,2900,3,hero_2
900,3,0,7300.0,7150.0,800,350,8,1900,2900,4,hero_3
900,4,0,7400.0,7200.0,900,400,9,1900,2900,5,hero_4
900,5,1,7500.0,7250.0,1000,450,5,1900,2900,6,hero_5
900,6,1,7600.0,7300.0,1100,500,6,1900,2900,7,hero_6
900,7,1,7700.0,7350.0,1200,550,7,1900,2900,8,hero_7
900,8,1,7800.0,7400.0,1300,600,8,1900,2900,9,hero_8
900,9,1,7900.0,7450.0,1400,650,9,1900,2900,10,hero_9
930,0,0,7000.0,7000.0,500,200,5,1900,2900,1,hero_0
930,1,0,7100.0,7050.0,600,250,6,1900,2900,2,hero_1
930,2,0,7200.0,7100.0,700,300,7,1900,2900,3,hero_2
930,3,0,7300.0,7150.0,800,350,8,1900,2900,4,hero_3
930,4,0,7400.0,7200.0,900,400,9,1900,2900,5,hero_4
930,5,1,7500.0,7250.0,1000,450,5,1900,2900,6,hero_5
930,6,1,7600.0,7300.0,1100,500,6,1900,2900,7,hero_6
930,7,1,7700.0,7350.0,1200,550,7,1900,2900,8,hero_7
930,8,1,7800.0,7400.0,1300,600,8,1900,2900,9,hero_8
930,9,1,7900.0,7450.0,1400,650,9,1900,2900,10,hero_9
960,0,0,7000.0,7000.0,500,200,5,1900,2950,1,hero_0
960,1,0,7100.0,7050.0,600,250,6,1900,2950,2,hero_1
960,2,0,7200.0,7100.0,700,300,7,1900,2950,3,hero_2
960,3,0,7300.0,7150.0,800,350,8,1900,2950,4,hero_3
960,4,0,7400.0,7200.0,900,400,9,1900,2950,5,hero_4
960,5,1,7500.0,7250.0,1000,450,5,1900,2950,6,hero_5
960,6,1,7600.0,7300.0,1100,500,6,1900,2950,7,hero_6
960,7,1,7700.0,7350.0,1200,550,7,1900,2950,8,hero_7
960,8,1,7800.0,7400.0,1300,600,8,1900,2950,9,hero_8
960,9,1,7900.0,7450.0,1400,650,9,1900,2950,10,hero_9
990,0,0,7000.0,7000.0,500,200,5,1900,2950,1,hero_0
990,1,0,7100.0,7050.0,600,250,6,1900,2950,2,hero_1
990,2,0,7200.0,7100.0,700,300,7,1900,2950,3,hero_2
990,3,0,7300.0,7150.0,800,350,8,1900,2950,4,hero_3
990,4,0,7400.0,7200.0,900,400,9,1900,2950,5,hero_4
990,5,1,7500.0,7250.0,1000,450,5,1900,2950,6,hero_5
990,6,1,7600.0,7300.0,1100,500,6,1900,2950,7,hero_6
990,7,1,7700.0,7350.0,1200,550,7,1900,2950,8,hero_7
990,8,1,7800.0,7400.0,1300,600,8,1900,2950,9,hero_8
990,9,1,7900.0,7450.0,1400,650,9,1900,2950,10,hero_9
1020,0,0,7000.0,7000.0,500,200,5,2000,3000,1,hero_0
1020,1,0,7100.0,7050.0,600,250,6,2000,3000,2,hero_1
1020,2,0,7200.0,7100.0,700,300,7,2000,3000,3,hero_2
1020,3,0,7300.0,7150.0,800,350,8,2000,3000,4,hero_3
1020,4,0,7400.0,7200.0,900,400,9,2000,3000,5,hero_4
1020,5,1,7500.0,7250.0,1000,450,5,2000,3000,6,hero_5
1020,6,1,7600.0,7300.0,1100,500,6,2000,3000,7,hero_6
1020,7,1,7700.0,7350.0,1200,550,7,2000,3000,8,hero_7
1020,8,1,7800.0,7400.0,1300,600,8,2000,3000,9,hero_8
1020,9,1,7900.0,7450.0,1400,650,9,2000,3000,10,hero_9
1050,0,0,7000.0,7000.0,500,200,5,2000,3050,1,hero_0
1050,1,0,7100.0,7050.0,600,250,6,2000,3050,2,hero_1
1050,2,0,7200.0,7100.0,700,300,7,2000,3050,3,hero_2
1050,3,0,7300.0,7150.0,800,350,8,2000,3050,4,hero_3
1050,4,0,7400.0,7200.0,900,400,9,2000,3050,5,hero_4
1050,5,1,7500.0,7250.0,1000,450,5,2000,3050,6,hero_5
1050,6,1,7600.0,7300.0,1100,500,6,2000,3050,7,hero_6
1050,7,1,7700.0,7350.0,1200,550,7,2000,3050,8,hero_7
1050,8,1,7800.0,7400.0,1300,600,8,2000,3050,9,hero_8
1050,9,1,7900.0,7450.0,1400,650,9,2000,3050,10,hero_9
1080,0,0,7000.0,7000.0,500,200,5,2000,3050,1,hero_0
1080,1,0,7100.0,7050.0,600,250,6,2000,3050,2,hero_1
1080,2,0,7200.0,7100.0,700,300,7,2000,3050,3,hero_2
1080,3,0,7300.0,7150.0,800,350,8,2000,3050,4,hero_3
1080,4,0,7400.0,7200.0,900,400,9,2000,3050,5,hero_4
1080,5,1,7500.0,7250.0,1000,450,5,2000,3050,6,hero_5
1080,6,1,7600.0,7300.0,1100,500,6,2000,3050,7,hero_6
1080,7,1,7700.0,7350.0,1200,550,7,2000,3050,8,hero_7
1080,8,1,7800.0,7400.0,1300,600,8,2000,3050,9,hero_8
1080,9,1,7900.0,7450.0,1400,650,9,2000,3050,10,hero_9
1110,0,0,7000.0,7000.0,500,200,5,2100,3100,1,hero_0
1110,1,0,7100.0,7050.0,600,250,6,2100,3100,2,hero_1
1110,2,0,7200.0,7100.0,700,300,7,2100,3100,3,hero_2
1110,3,0,7300.0,7150.0,800,350,8,2100,3100,4,hero_3
1110,4,0,7400.0,7200.0,900,400,9,2100,3100,5,hero_4
1110,5,1,7500.0,7250.0,1000,450,5,2100,3100,6,hero_5
1110,6,1,7600.0,7300.0,1100,500,6,2100,3100,7,hero_6
1110,7,1,7700.0,7350.0,1200,550,7,2100,3100,8,hero_7
1110,8,1,7800.0,7400.0,1300,600,8,2100,3100,9,hero_8
1110,9,1,7900.0,7450.0,1400,650,9,2100,3100,10,hero_9
1140,0,0,7000.0,7000.0,500,200,5,2100,3100,1,hero_0
1140,1,0,7100.0,7050.0,600,250,6,2100,3100,2,hero_1
1140,2,0,7200.0,7100.0,700,300,7,2100,3100,3,hero_2
1140,3,0,7300.0,7150.0,800,350,8,2100,3100,4,hero_3
1140,4,0,7400.0,7200.0,900,400,9,2100,3100,5,hero_4
1140,5,1,7500.0,7250.0,1000,450,5,2100,3100,6,hero_5
1140,6,1,7600.0,7300.0,1100,500,6,2100,3100,7,hero_6
1140,7,1,7700.0,7350.0,1200,550,7,2100,3100,8,hero_7
1140,8,1,7800.0,7400.0,1300,600,8,2100,3100,9,hero_8
1140,9,1,7900.0,7450.0,1400,650,9,2100,3100,10,hero_9
