tick,hero_name,x,y,hp
4397,Magnataur,20881.94,20466.84,720
4409,WitchDoctor,10473.5,12219.5,632
4409,Alchemist,12020.69,11961.22,802
4415,Venomancer,22262.84,21014.91,610
4427,Mars,11792.75,12072.06,802
4437,Jakiro,11239.22,10981.47,720
4441,DoomBringer,22011.0,19866.62,802
4455,Bloodseeker,20726.5,20842.59,714
4457,QueenOfPain,11053.44,11400.91,626
4457,Magnataur,20420.19,20101.81,720
4469,WitchDoctor,11056.47,12138.0,632
4469,Alchemist,12369.03,12421.41,802
4475,Venomancer,22148.34,20466.75,610
4487,Mars,12091.72,12580.53,802
4497,Jakiro,11677.53,11486.78,720
4501,DoomBringer,21603.0,19490.97,802
4515,Bloodseeker,20409.28,20383.75,714
4517,QueenOfPain,11468.03,11796.75,626
4517,Magnataur,19996.12,19665.47,720
4529,WitchDoctor,11569.0,12041.0,632
4529,Alchemist,12910.34,12573.72,802
4535,Venomancer,21785.34,20141.59,610
4547,Mars,12703.16,12623.16,802
4557,Jakiro,12068.62,12028.41,720
4561,DoomBringer,21065.88,19493.19,802
4575,Bloodseeker,20155.66,19911.0,714
4577,QueenOfPain,11893.62,12139.5,626
4577,Magnataur,19581.25,19218.28,720
4589,WitchDoctor,12013.97,12344.09,632
4589,Alchemist,13413.59,12457.0,802
4595,Venomancer,21272.94,19915.69,610
4595,Disruptor,22643.19,22446.75,626
4607,Mars,13321.19,12585.19,802
4617,Jakiro,12527.03,12487.62,720
4621,DoomBringer,20518.62,19566.03,802
4635,Bloodseeker,19815.22,19453.84,714
4637,QueenOfPain,12346.91,12501.31,626
4637,Magnataur,19081.12,18882.16,720
4649,WitchDoctor,12336.06,12850.31,632
4649,Alchemist,13871.84,12442.0,802
4655,Venomancer,20760.97,19688.81,610
4655,Disruptor,22064.22,22422.19,626
4667,Mars,13891.25,12672.59,802
4677,Jakiro,13157.56,12474.31,720
4681,DoomBringer,20072.72,19196.78,802
4695,Bloodseeker,19400.5,19069.25,714
4697,QueenOfPain,12816.38,12820.56,626
4697,Magnataur,18525.44,18679.59,720
4709,Alchemist,14440.19,12419.53,802
4715,Venomancer,20326.38,19354.62,610
4715,Disruptor,21507.09,22228.12,626
4723,WitchDoctor,12762.44,13094.34,632
4727,Mars,14507.41,12644.41,802
4737,Jakiro,13753.22,12622.91,720
4741,DoomBringer,19653.19,18796.28,802
4755,Bloodseeker,18933.97,18742.03,714
4757,QueenOfPain,13237.53,13181.97,626
4757,Magnataur,18047.44,18327.94,720
4771,Alchemist,14773.22,12263.28,802
4775,Venomancer,19927.59,18969.84,610
4775,Disruptor,20948.5,22038.16,626
4783,WitchDoctor,13357.97,13021.19,632
4787,Mars,15127.41,12640.91,802
4797,Jakiro,14415.38,12533.69,720
4801,DoomBringer,19236.75,18396.97,802
4815,Bloodseeker,18490.5,18396.97,714
4817,QueenOfPain,13604.03,13631.47,626
4817,Magnataur,17596.66,17927.81,720
4831,Alchemist,15196.34,12527.56,802
4835,Venomancer,19484.38,18627.53,610
4835,Disruptor,20377.62,22053.75,626
4843,WitchDoctor,13917.03,13061.41,632
4847,Mars,15704.91,12842.34,802
4857,Jakiro,15084.06,12508.59,720
4861,DoomBringer,18968.53,17899.28,802
4875,Bloodseeker,17996.75,18114.25,714
4877,QueenOfPain,13970.31,14081.19,626
4877,Magnataur,17053.78,17649.94,720
4891,Alchemist,15763.59,12647.41,802
4895,Venomancer,19083.69,18250.47,610
4899,Disruptor,19828.19,21956.81,626
4903,WitchDoctor,14299.19,13098.16,632
4907,Mars,16312.75,12947.72,802
4917,Jakiro,15727.16,12691.19,720
4921,DoomBringer,18754.5,17455.28,802
4935,Bloodseeker,17494.81,17845.0,714
4937,QueenOfPain,14370.41,14328.59,626
4937,Magnataur,16460.91,17542.38,720
4951,Alchemist,16336.09,12740.44,802
4955,Venomancer,18628.5,17930.16,610
4959,Disruptor,19256.59,21811.03,626
4963,WitchDoctor,14817.06,12860.5,632
4967,Mars,16803.44,13281.81,802
4977,Jakiro,16415.5,12719.16,720
4981,DoomBringer,18494.38,16948.78,802
4995,Bloodseeker,17000.25,17561.69,714
4997,Magnataur,16181.78,17012.09,720
4999,QueenOfPain,14719.62,14463.09,626
5011,Alchemist,16689.78,12980.88,802
5015,Venomancer,18245.84,17521.69,632
5019,Disruptor,18898.34,21376.0,626
5023,WitchDoctor,15409.0,12835.53,632
5031,Mars,16841.0,13641.69,802
5037,Jakiro,17041.81,12620.09,720
5041,DoomBringer,18285.78,16450.97,802
5055,Bloodseeker,16508.16,17274.03,714
5059,QueenOfPain,15274.09,14555.75,626
5069,Magnataur,16474.72,17209.69,720
5075,Venomancer,17875.22,17101.91,632
5079,Disruptor,18601.22,20866.31,626
5083,WitchDoctor,15894.81,12945.81,632
5091,Mars,16828.97,13871.59,802
5097,Jakiro,17265.53,13110.91,720
5125,QueenOfPain,15370.09,14305.47,626
5135,Venomancer,17818.34,16563.75,632
5139,Disruptor,18326.88,20347.72,626
5143,WitchDoctor,15890.34,13496.69,632
5145,DoomBringer,17916.28,16143.69,802
5155,Mars,17142.78,13601.94,802
5159,Jakiro,17160.88,13027.91,720
5165,Alchemist,16665.53,13301.19,802
5185,QueenOfPain,15819.78,14456.38,626
5195,Venomancer,17576.59,16107.22,632
5199,Disruptor,18028.97,19838.44,626
5203,WitchDoctor,15850.31,14048.97,632
5205,DoomBringer,17586.84,15801.03,802
5219,Jakiro,16893.97,13458.28,720
5225,Alchemist,16545.84,13721.22,802
5249,QueenOfPain,15616.47,14398.44,626
5259,Disruptor,17826.25,19311.06,626
5261,Venomancer,17423.72,15590.88,632
5281,DoomBringer,17301.25,15898.53,802
5285,Jakiro,16338.19,13663.28,720
5291,WitchDoctor,15668.69,13972.0,632
5313,Bloodseeker,16312.06,17288.72,714
5319,Disruptor,17851.62,18722.62,626
5321,Venomancer,17250.12,15074.66,632
5341,DoomBringer,17327.72,15414.97,802
5361,WitchDoctor,15685.62,13677.03,632
5373,Bloodseeker,16684.38,16858.88,714
5379,Disruptor,17884.31,18142.34,626
5381,Venomancer,16950.06,14601.84,632
5401,DoomBringer,17066.66,14897.06,802
5417,Jakiro,16719.84,13477.38,720
5433,Bloodseeker,17058.16,16430.84,714
5439,Alchemist,16621.59,14049.47,802
5439,Disruptor,17725.09,17574.62,626
5441,Venomancer,16804.0,14082.5,632
5455,WitchDoctor,15946.47,14206.38,632
5463,DoomBringer,16902.38,14497.31,802
5473,Mars,16789.75,13831.41,785
5493,Magnataur,17046.44,17139.28,720
5493,Bloodseeker,17340.41,15939.41,714
5499,Disruptor,17567.56,17006.06,626
5505,Venomancer,16807.75,14148.91,452
5523,DoomBringer,17260.25,14802.09,802
5531,Jakiro,16842.12,13815.88,708
5533,QueenOfPain,15551.16,14389.78,626
5533,Mars,16827.81,13933.19,791
5553,Magnataur,17157.56,16553.19,720
5559,Disruptor,17501.06,16429.34,626
5561,Alchemist,16708.31,14250.53,802
5567,Bloodseeker,17324.59,15437.44,714
5583,DoomBringer,17599.03,15256.91,802
5593,QueenOfPain,16130.91,14374.38,626
5601,Venomancer,16861.84,14440.97,95
5603,Jakiro,16956.84,13763.97,706
5613,Mars,16709.47,14289.0,793
5619,Disruptor,17379.44,15946.66,626
5627,Magnataur,17380.0,16029.59,720
5627,Bloodseeker,17355.53,15590.88,714
5633,WitchDoctor,16261.38,14457.88,632
5643,DoomBringer,17496.75,15791.53,802
5659,Alchemist,16735.06,14308.69,652
5663,Jakiro,16782.03,13654.94,704
5673,QueenOfPain,15890.0,14332.47,529
5673,Mars,16314.41,14536.31,691
5685,Disruptor,17528.59,15991.88,626
5695,Bloodseeker,17238.38,16074.31,714
5701,WitchDoctor,16029.94,14289.62,538
5703,DoomBringer,17345.78,16294.62,802
5719,Alchemist,16742.78,13788.78,642
5723,Jakiro,16674.47,13277.75,709
5733,QueenOfPain,15329.88,14300.12,535
5733,Mars,15844.06,14759.62,690
5733,Magnataur,17553.94,16340.81,720
5745,Disruptor,17060.16,16346.84,626
5755,Bloodseeker,16813.34,16432.75,714
5761,WitchDoctor,15574.5,13965.5,544
5763,DoomBringer,17208.5,16348.34,802
5779,Alchemist,16711.84,13239.22,641
5793,Mars,15631.5,14773.75,698
5795,Jakiro,16366.81,12842.53,708
5805,Disruptor,16680.84,16793.22,626
5815,Bloodseeker,16370.97,16792.19,714
5821,WitchDoctor,15225.69,14330.03,550
5831,DoomBringer,17123.5,16357.09,802
5839,Alchemist,16713.47,12675.03,648
5853,Mars,15990.59,14370.34,698
5863,QueenOfPain,15335.28,14534.47,551
5865,Disruptor,16332.09,17269.12,626
5873,Jakiro,16542.97,12658.22,707
5875,Bloodseeker,15948.16,17162.25,714
5889,WitchDoctor,15271.19,14565.0,558
5899,Alchemist,17199.72,12385.78,654
5913,Mars,16551.38,14264.84,697
5925,QueenOfPain,15439.78,14452.66,558
5925,Disruptor,15903.94,17657.09,626
5935,Bloodseeker,15554.78,17573.44,714
5943,Jakiro,16765.47,12172.41,705
5959,Alchemist,17534.69,12185.47,661
5961,WitchDoctor,15538.19,14297.53,566
5973,Mars,16759.41,13697.69,703
5985,DoomBringer,16946.69,16406.88,802
5987,QueenOfPain,15520.44,14430.75,564
6005,Disruptor,15474.84,17897.97,626
6007,Jakiro,16759.5,12357.62,711
6021,WitchDoctor,15082.94,14520.47,573
6033,Mars,16567.38,14156.53,710
6045,DoomBringer,17392.94,16049.31,802
6045,Venomancer,23016.19,22645.62,632
6047,QueenOfPain,15270.81,14847.34,571
6067,Jakiro,16791.72,12157.25,717
6093,Mars,16169.44,14603.88,717
6103,WitchDoctor,14703.94,14863.59,584
6105,Venomancer,22845.91,22112.16,632
6111,QueenOfPain,14938.25,14786.03,579
6111,DoomBringer,17249.78,16271.03,802
6127,Jakiro,16666.12,12810.91,720
6135,Magnataur,17596.91,16500.72,720
6153,Mars,15632.03,14911.09,724
6165,Venomancer,22579.97,21624.97,632
6171,QueenOfPain,14458.06,15001.59,586
6171,DoomBringer,17673.03,16098.84,802
6187,Jakiro,16733.91,13477.09,720
6191,Alchemist,17487.91,12234.25,687
6213,Mars,15200.78,15337.69,733
6225,Venomancer,22267.69,21160.12,632
6231,DoomBringer,17403.44,16099.91,802
6237,QueenOfPain,14553.19,14961.69,594
6251,Alchemist,16984.09,12516.94,694
6273,Mars,14902.94,15861.62,741
6275,Magnataur,17561.81,16209.84,720
6285,Jakiro,16609.53,14053.34,720
6285,Venomancer,21900.5,20740.22,632
6291,WitchDoctor,14672.62,15017.56,607
6291,DoomBringer,16884.03,16331.19,802
6297,QueenOfPain,14740.22,15504.25,622
6311,Bloodseeker,15269.81,17595.72,714
6333,Mars,14566.69,16167.41,749
6345,Venomancer,21481.22,20395.12,632
6351,WitchDoctor,14779.59,15607.94,615
6351,DoomBringer,16444.53,16709.66,802
6353,Jakiro,16633.25,14075.5,720
6357,QueenOfPain,14927.75,15896.0,629
6373,Bloodseeker,15280.59,17732.28,714
6375,Alchemist,16885.47,12343.47,708
6399,Mars,14097.72,16396.5,756
6405,Venomancer,21098.78,19998.12,632
6411,WitchDoctor,14720.91,16157.0,622
6411,DoomBringer,16011.25,17092.16,802
6417,Jakiro,16509.47,14326.72,720
6419,QueenOfPain,14827.5,16026.72,637
6431,Magnataur,17125.94,16151.94,720
6433,Bloodseeker,15454.75,17720.81,714
6435,Disruptor,15084.88,17637.66,626
6459,Mars,14497.81,16844.78,763
6465,Venomancer,20625.62,19720.0,632
6471,DoomBringer,15621.34,17515.66,802
6477,Jakiro,16980.72,14608.0,720
6479,QueenOfPain,14625.62,16204.16,642
6487,WitchDoctor,14314.75,16447.19,629
6491,Magnataur,16565.53,16331.66,720
6495,Disruptor,14682.69,17859.31,626
6519,Mars,14737.88,17376.06,769
6525,Venomancer,20153.66,19420.53,632
6539,QueenOfPain,14400.28,16738.41,648
6551,WitchDoctor,14244.38,17019.88,632
6551,Jakiro,16967.59,14826.41,720
6551,Magnataur,16197.38,16808.72,720
6551,DoomBringer,15147.06,17411.38,802
6555,Bloodseeker,15261.25,17678.91,714
6573,Disruptor,14661.28,18010.91,626
6579,Mars,14862.97,17230.16,732
6585,Venomancer,19658.38,19159.47,632
6599,QueenOfPain,14387.59,16993.59,648
6607,Alchemist,16885.44,12237.12,733
6611,WitchDoctor,14212.62,17375.28,632
6611,Magnataur,15820.53,17288.38,720
6611,DoomBringer,15120.88,17114.38,756
6635,Bloodseeker,15247.88,17607.69,714
6645,Venomancer,19174.47,18878.25,632
6647,Mars,14747.66,17334.41,688
6671,Jakiro,17446.28,15235.88,720
6671,Magnataur,15283.56,17406.5,720
6671,DoomBringer,15097.5,17222.5,731
6677,QueenOfPain,14537.72,16591.16,648
6677,Disruptor,14632.19,17965.75,497
6683,WitchDoctor,13925.44,17528.44,632
6695,Bloodseeker,14925.22,17634.56,660
6705,Venomancer,18618.69,18809.88,632
6711,Mars,14696.12,17301.41,446
6711,Alchemist,16925.66,11733.5,745
6739,QueenOfPain,14630.03,16696.03,648
6743,WitchDoctor,13758.62,17622.5,632
6747,Jakiro,17316.38,15317.03,720
6765,Magnataur,14721.31,17279.78,720
6765,DoomBringer,14664.5,17145.56,694
6765,Venomancer,18063.44,18737.09,632
6773,Bloodseeker,14622.72,17372.53,621
6775,Alchemist,17371.09,11082.34,752
6779,Mars,14476.16,17079.72,181
6779,Disruptor,14580.16,17671.38,506
6803,WitchDoctor,13329.59,17271.81,632
6807,Jakiro,16696.75,15551.62,720
6825,Venomancer,17595.28,18472.16,632
6835,Alchemist,17452.72,10217.88,759
6839,Mars,14274.31,16589.06,0
6843,Bloodseeker,14430.72,16907.75,670
6853,Disruptor,14454.59,17185.53,512
6859,QueenOfPain,14646.19,16302.12,648
6863,WitchDoctor,12857.47,16915.12,632
6869,Jakiro,16654.75,15440.81,720
6869,DoomBringer,14590.88,16988.5,660
6871,Magnataur,14753.44,17061.72,720
6885,Venomancer,17164.25,18228.5,632
6905,Bloodseeker,14115.75,17277.97,676
6907,Alchemist,17968.31,10034.53,767
6913,Disruptor,14413.12,17763.12,517
6919,QueenOfPain,14865.78,15790.16,648
6923,WitchDoctor,12293.12,16905.56,632
6929,Jakiro,17048.78,14992.0,720
6929,DoomBringer,15107.22,16828.75,668
6931,Magnataur,15275.25,16793.44,720
6945,Venomancer,16869.5,17797.03,632
6965,Bloodseeker,13988.12,17815.0,682
6967,Alchemist,18545.94,10051.19,774
6973,Disruptor,14481.12,18347.94,522
6979,QueenOfPain,14594.44,15292.28,648
6983,WitchDoctor,11751.72,17154.75,632
6989,Jakiro,16809.12,14371.59,720
6989,DoomBringer,15568.56,16478.84,675
6991,Magnataur,15737.84,16395.81,720
7005,Venomancer,17017.88,17260.91,632
7025,Bloodseeker,13949.94,18383.56,688
7027,Alchemist,19125.88,10059.91,780
7033,Disruptor,14579.22,18929.72,527
7039,QueenOfPain,14346.19,14789.06,648
7043,WitchDoctor,11291.62,17531.88,632
7049,Jakiro,16939.94,13730.22,720
7049,DoomBringer,16004.0,16095.94,683
7051,Magnataur,16317.28,16445.41,720
7065,Venomancer,17388.62,16845.62,632
7085,Bloodseeker,13819.53,18922.5,694
7087,Alchemist,19704.53,10023.47,787
7093,Disruptor,14553.72,19497.53,533
7103,WitchDoctor,10860.78,17947.53,632
7105,QueenOfPain,14487.16,14877.47,648
7109,Jakiro,17210.19,13117.22,720
7109,DoomBringer,16478.75,15775.44,690
7111,Magnataur,16828.47,16775.84,720
7125,Venomancer,17555.28,16336.44,632
7145,Bloodseeker,13448.88,19341.03,699
7147,Alchemist,20274.84,10106.22,794
7153,Disruptor,14618.09,20081.97,538
7163,WitchDoctor,10780.78,18495.0,632
7169,Jakiro,17411.38,12488.62,720
7169,DoomBringer,16937.62,15433.19,698
7177,Magnataur,16697.94,16664.91,720
7185,Venomancer,17616.72,15784.62,632
7187,QueenOfPain,14877.19,15232.56,648
7205,Bloodseeker,12991.38,19679.22,705
7207,Alchemist,20794.69,10063.5,802
7213,Disruptor,14702.53,20653.25,543
7223,WitchDoctor,10781.94,19095.0,632
7229,DoomBringer,17401.88,15090.03,705
7245,Venomancer,17883.44,15302.59,632
7253,Magnataur,16312.62,16407.59,720
7257,QueenOfPain,15288.28,15518.53,648
7263,Jakiro,17814.25,12036.97,720
7265,Bloodseeker,12560.31,20052.16,711
7273,Disruptor,15243.94,20802.69,548
7283,WitchDoctor,10543.72,19590.56,632
7289,DoomBringer,17893.62,14785.81,713
7305,Venomancer,18219.38,14896.03,632
7323,Jakiro,18403.47,11723.34,720
7325,Bloodseeker,12126.22,20421.19,714
7335,Disruptor,14440.22,20927.5,553
7343,WitchDoctor,10606.41,20054.94,632
7343,Magnataur,16092.66,16219.47,720
7345,QueenOfPain,15551.59,15876.44,648
7349,DoomBringer,18445.38,14610.38,720
7365,Venomancer,18726.53,14659.41,632
7375,Mars,9928.28,19043.66,802
7383,Jakiro,19049.06,11545.88,720
7385,Bloodseeker,11630.81,20651.84,714
7387,Alchemist,21306.44,10188.97,802
7395,Disruptor,13859.88,20952.62,558
7405,WitchDoctor,11033.88,19977.0,632
7409,DoomBringer,19011.47,14484.28,728
7413,Magnataur,16355.62,16412.44,639
7425,Venomancer,19252.0,14468.38,632
7437,Mars,9965.09,19573.28,802
7443,Jakiro,19694.25,11365.19,720
7445,QueenOfPain,15610.56,15945.16,648
7445,Bloodseeker,11087.19,20816.0,714
7447,Alchemist,21480.62,10291.81,802
7455,Disruptor,13622.38,21400.53,563
7465,WitchDoctor,10903.25,20158.12,632
7475,DoomBringer,19490.44,14264.19,736
7485,Venomancer,19704.62,14156.44,632
7503,Jakiro,20238.41,11047.22,720
7503,Magnataur,16437.69,16187.47,640
7505,Bloodseeker,10749.72,21213.56,714
7507,Mars,10025.78,20077.88,802
7511,Alchemist,21646.91,10533.84,802
7515,Disruptor,13439.84,21960.69,568
7525,WitchDoctor,11212.0,20543.06,632
7535,DoomBringer,19821.62,13788.19,744
7543,QueenOfPain,15888.84,16189.5,643
7545,Venomancer,19957.91,13694.38,632
7563,Jakiro,20895.03,11103.53,720
7565,Bloodseeker,10344.38,21478.41,714
7575,Mars,10121.06,20548.81,802
7575,Disruptor,12968.25,22172.38,573
7585,WitchDoctor,11707.72,20868.09,632
7587,Magnataur,16220.62,16044.03,556
7589,Alchemist,21973.25,10681.56,802
7595,DoomBringer,19990.91,13253.03,751
7603,QueenOfPain,15698.12,15970.22,638
7605,Venomancer,20086.72,13149.41,632
7627,Bloodseeker,10175.0,21371.25,714
7635,Mars,10259.12,20574.09,802
7643,Jakiro,21491.0,11291.0,720
7647,Magnataur,16075.38,16350.31,562
7647,Disruptor,12470.69,22012.69,579
7651,WitchDoctor,11243.03,20770.09,632
7665,DoomBringer,20198.84,12774.28,760
7665,Venomancer,20268.31,12637.0,632
7667,QueenOfPain,15515.0,15975.0,618
7689,Bloodseeker,10218.91,21567.69,714
7695,Mars,10011.59,20636.44,789
7711,WitchDoctor,10663.31,20741.09,632
7717,Magnataur,15798.31,16124.5,569
7719,Jakiro,21661.84,11132.69,720
7721,Disruptor,12127.75,21582.66,586
7725,DoomBringer,20655.09,12460.5,767
7725,Venomancer,20412.88,12137.84,632
7771,WitchDoctor,11082.88,20533.44,632
7775,Bloodseeker,10053.09,21474.94,714
7781,Magnataur,16167.5,16357.5,503
7785,DoomBringer,21151.22,12167.69,775
7785,Venomancer,20685.72,11648.78,632
7787,Mars,10114.0,20708.47,800
7801,QueenOfPain,15682.53,16046.62,579
7801,Disruptor,11750.78,21224.94,593
7813,Alchemist,22018.22,10567.59,802
7831,WitchDoctor,10912.0,20328.25,632
7845,DoomBringer,21558.31,11766.0,783
7845,Venomancer,20422.72,11939.69,632
7855,Magnataur,16322.81,16704.66,476
7861,QueenOfPain,15876.31,15902.34,560
7861,Bloodseeker,10064.53,21315.12,714
7869,Jakiro,21524.72,10645.5,720
7887,Disruptor,11447.38,20838.31,600
7897,Mars,10341.94,20813.09,802
7905,DoomBringer,22030.12,11430.84,790
7905,Venomancer,20078.16,11860.16,632
7917,WitchDoctor,11142.97,20417.09,548
7921,QueenOfPain,15657.94,15953.0,553
7921,Magnataur,16321.06,16475.66,484
7929,Jakiro,21658.25,10894.53,720
7941,Bloodseeker,10096.34,21441.06,704
7955,Alchemist,21956.31,10478.44,802
7965,DoomBringer,22407.91,11092.41,798
7977,Venomancer,20131.25,11821.84,632
7985,Disruptor,11629.38,21010.38,507
7989,Jakiro,21866.78,11401.38,720
7993,Magnataur,16607.28,16508.22,494
8001,Bloodseeker,10585.66,21452.94,653
8015,Mars,10299.62,20975.91,790
8017,Alchemist,21944.09,10661.59,802
8019,QueenOfPain,16008.47,16233.66,562
8025,DoomBringer,22933.84,11301.25,802
8037,Venomancer,20620.5,11742.91,632
8043,WitchDoctor,11363.28,20626.25,270
8061,Disruptor,11773.03,21424.16,481
8065,Bloodseeker,10415.16,21346.78,658
8075,Magnataur,16772.81,16627.53,502
8077,Mars,10053.47,21182.19,769
8077,Alchemist,22089.97,10414.66,792
8079,QueenOfPain,15866.97,16119.47,567
8081,Jakiro,22167.81,11458.44,720
8085,DoomBringer,22844.53,11228.12,744
8097,Venomancer,21082.0,11523.53,632
8121,Disruptor,11770.75,21910.81,400
8131,WitchDoctor,11573.34,20966.69,280
8145,DoomBringer,22464.75,11307.97,751
8155,Jakiro,22078.16,11120.0,720
8157,Venomancer,21629.62,11412.59,632
8161,QueenOfPain,15820.38,16135.06,519
8161,Bloodseeker,10045.81,21347.84,655
8167,Alchemist,22164.66,10566.12,802
8169,Magnataur,16538.78,16385.12,490
8181,Disruptor,11334.88,21958.34,371
8191,WitchDoctor,11134.38,20578.38,300
8197,Mars,10146.66,21068.12,683
8219,DoomBringer,22180.88,10990.16,761
8225,Jakiro,21667.03,10727.5,637
8237,Bloodseeker,10056.41,21566.69,574
8241,Disruptor,11041.31,21977.53,334
8251,WitchDoctor,10611.44,20658.81,319
8257,QueenOfPain,15788.47,16169.34,564
8257,Venomancer,21668.41,11223.34,632
8269,Mars,9974.34,20956.5,664
8269,Alchemist,21785.16,10372.09,802
8273,Magnataur,16473.34,16382.56,550
8285,Jakiro,21106.03,10527.31,628
8285,DoomBringer,22167.06,10761.34,769
8297,Bloodseeker,10076.91,21612.62,583
8301,Disruptor,10775.41,21770.28,328
8311,WitchDoctor,10288.09,21106.88,339
8317,Venomancer,21550.19,11744.0,632
8329,Alchemist,21969.19,10403.38,802
8333,Mars,9989.59,20786.25,655
8345,Jakiro,21412.72,10184.81,620
8347,QueenOfPain,15877.22,15993.88,559
8347,DoomBringer,22117.91,10770.44,767
8349,Magnataur,16685.59,16540.97,514
8357,Bloodseeker,10260.19,21626.59,591
8367,Disruptor,10707.41,21685.81,314
8371,WitchDoctor,10470.62,20699.94,313
8383,Venomancer,21282.34,12076.59,632
8391,Alchemist,21794.81,10505.31,802
8401,Mars,10015.06,20736.88,649
8417,Bloodseeker,10159.41,21641.91,611
8423,QueenOfPain,16019.84,16116.34,540
8427,DoomBringer,22004.62,10756.19,766
8427,Disruptor,10725.84,21184.12,334
8431,WitchDoctor,10661.0,20357.16,333
8433,Jakiro,21552.0,10351.22,622
8439,Magnataur,16652.44,16319.88,526
8443,Venomancer,21487.0,11600.28,632
8467,Mars,10228.22,20900.81,641
8485,Bloodseeker,10130.72,21734.91,633
8487,Disruptor,11206.25,21335.31,353
8499,Magnataur,16287.41,16258.47,534
8501,DoomBringer,22263.25,10628.06,775
8503,Venomancer,21885.53,11348.81,632
8507,Jakiro,21425.34,10532.31,632
8509,Alchemist,22108.66,10481.41,802
8511,QueenOfPain,15909.41,16370.22,548
8515,WitchDoctor,10693.0,20507.19,360
8547,Bloodseeker,10039.34,21588.56,653
8547,Disruptor,11057.31,21247.94,381
8553,Mars,10234.81,21160.06,650
8561,DoomBringer,22614.34,10942.0,726
8567,Venomancer,22059.47,11018.12,632
8571,Jakiro,21366.97,10446.91,640
8571,Alchemist,22021.16,10520.53,802
8573,Magnataur,15860.25,16209.88,448
8575,WitchDoctor,10899.94,20446.06,379
8585,QueenOfPain,15733.38,16120.0,445
8611,Bloodseeker,10310.12,21679.97,645
8621,Disruptor,10972.31,21419.88,387
8623,Mars,10051.75,21310.28,597
8625,DoomBringer,22522.66,10915.53,718
8631,Jakiro,21333.69,10510.12,647
8631,Alchemist,21791.5,10218.31,776
8635,WitchDoctor,10935.06,20827.41,391
8641,Venomancer,21972.91,11456.09,632
8653,QueenOfPain,15556.59,15808.59,426
8653,Magnataur,16371.97,16233.38,458
8671,Bloodseeker,10503.75,22007.47,666
8683,Mars,10179.78,20916.31,588
8685,DoomBringer,22395.16,11124.72,709
8691,Jakiro,21508.31,10645.75,655
8691,Alchemist,21952.91,10481.47,769
8715,QueenOfPain,15625.0,15943.75,445
8717,WitchDoctor,10728.47,20540.12,262
8731,Bloodseeker,10221.34,21853.69,672
8731,Disruptor,11193.75,21241.81,353
8751,Mars,10270.91,21366.69,596
8751,Venomancer,22011.28,10968.72,632
8753,Jakiro,21708.91,10107.12,663
8753,Alchemist,21979.25,10339.41,761
8755,DoomBringer,22301.56,11156.66,735
8771,Magnataur,16036.31,16135.25,471
8777,WitchDoctor,10309.53,20397.53,245
8779,QueenOfPain,15543.25,15886.47,467
8791,Disruptor,10857.19,20813.62,358
8803,Bloodseeker,10068.81,21802.94,680
8813,Jakiro,21475.88,10387.56,670
8813,Venomancer,21985.62,11270.75,620
8815,Alchemist,22032.25,10299.91,770
8815,DoomBringer,22298.44,10758.75,756
8833,Mars,10434.44,21507.19,606
8837,WitchDoctor,9775.53,20472.78,229
8845,QueenOfPain,15384.91,15845.0,410
